"year","Brest","Newlyn"
1989.7083,7054,7068
1989.7917,7110,7128
1989.875,7247,7252
1989.9583,7335,7345
1990.0417,7160,7153
1990.125,7220,7206
1990.2083,6947,6953
1990.2917,6982,6982
1990.375,7045,7032
1990.4583,7081,7065
1990.5417,7049,7047
1990.625,7043,7051
1990.7083,7048,7058
1990.7917,7222,7222
1990.875,7154,7147
1990.9583,7045,7040
1991.0417,7069,7055
1991.125,7033,7015
1991.2083,7093,7076
1991.2917,6989,6991
1991.375,6870,6886
1991.4583,7066,7064
1991.5417,7079,7060
1991.625,7017,7019
1991.7083,7120,7122
1991.7917,7133,7131
1991.875,7138,7118
1991.9583,7000,7003
1992.0417,6957,6967
1992.125,6953,6960
1992.2083,6943,6933
1992.2917,7008,7002
1992.375,6987,6992
1992.4583,7040,7046
1992.5417,7030,7045
1992.625,7135,7096
1992.7083,7125,7054
1992.7917,7152,7071
1992.875,7158,7099
1992.9583,7162,7095
1993.0417,7138,7069
1993.125,6953,6896
1993.2083,6983,6951
1993.2917,7110,7071
1993.375,7106,7073
1993.4583,7049,7025
1993.5417,7012,7006
1993.625,7000,7006
1993.7083,7190,7193
1993.7917,7198,7175
1993.875,7123,7121
1993.9583,7135,7097
1994.0417,7091,7054
1994.125,7171,7134
1994.2083,7012,6965
1994.2917,7004,6947
1994.375,7149,7112
1994.4583,7020,6985
1994.5417,7041,7029
1994.625,7103,7099
1994.7083,7157,7134
1994.7917,7191,7175
1994.875,7194,7191
1994.9583,7201,7167
1995.0417,7164,7121
1995.125,7192,7149
1995.2083,7055,7019
1995.2917,7000,6989
1995.375,7050,7061
1995.4583,6989,7001
1995.5417,7080,7107
1995.625,7025,7061
1995.7083,7128,7145
1995.7917,7171,7171
1995.875,7245,7269
1995.9583,7226,7238
1996.0417,7370,7335
1996.125,7085,7050
1996.2083,7113,7117
1996.2917,7059,7082
1996.375,7114,7118
1996.4583,6987,7017
1996.5417,7020,7051
1996.625,7044,7081
1996.7083,7057,7082
1996.7917,7109,7116
1996.875,7144,7114
1996.9583,7143,7115
1997.0417,7106,7067
1997.125,7069,7055
1997.2083,6969,6951
1997.2917,6977,6943
1997.375,7136,7109
1997.4583,7195,7156
1997.5417,7004,6994
1997.625,7098,7107
1997.7083,7071,7077
1997.7917,7174,7185
1997.875,7347,7328
1997.9583,7214,7150
1998.0417,7182,7145
1998.125,7036,7018
1998.2083,6999,6966
1998.2917,7222,7172
1998.375,7055,7027
1998.4583,7100,7070
1998.5417,7072,7060
1998.625,7013,7018
1998.7083,7168,7161
1998.7917,7144,7126
1998.875,7108,7079
1998.9583,7078,7085
1999.0417,7148,7111
1999.125,6961,6944
1999.2083,7073,7032
1999.2917,7076,7040
1999.375,7082,7055
1999.4583,7050,7021
1999.5417,7048,7036
1999.625,7148,7147
1999.7083,7221,7212
1999.7917,7212,7174
1999.875,7096,7061
1999.9583,7158,7113
2000.0417,6988,6963
2000.125,7048,7003
2000.2083,6976,6938
2000.2917,7215,7153
2000.375,7109,7055
2000.4583,7024,7004
2000.5417,7076,7080
2000.625,7047,7058
2000.7083,7144,7152
2000.7917,7161,7128
2000.875,7357,7272
2000.9583,7426,7360
2001.0417,7355,7258
2001.125,7116,7042
2001.2083,7310,7265
2001.2917,7074,7024
2001.375,7039,6996
2001.4583,7017,7007
2001.5417,7077,7064
2001.625,7084,7077
2001.7083,7087,7083
2001.7917,7254,7237
2001.875,7027,7002
2001.9583,7045,7033
2002.0417,7147,7151
2002.125,7148,7096
2002.2083,7075,NA
2002.2917,7074,7017
2002.375,7118,7169
2002.4583,7039,7108
2002.5417,7029,7099
2002.625,7044,7128
2002.7083,7101,7198
2002.7917,7219,7283
2002.875,7342,7344
2002.9583,7282,7254
2003.0417,7145,7129
2003.125,7094,7083
2003.2083,7122,7107
2003.2917,7148,7133
2003.375,7090,7090
2003.4583,7108,7145
2003.5417,7085,7132
2003.625,7075,7130
2003.7083,7078,7130
2003.7917,7174,7198
2003.875,7217,7232
2003.9583,7144,7156
2004.0417,7173,7160
2004.125,7070,7055
2004.2083,7068,7036
2004.2917,7114,7080
2004.375,7092,7073
2004.4583,7065,7061
2004.5417,7065,7071
2004.625,7189,7206
2004.7083,7095,7112
2004.7917,7327,7326
2004.875,7047,7059
2004.9583,7066,7083
2005.0417,6992,7011
2005.125,6943,6948
2005.2083,7048,7062
2005.2917,7085,7096
2005.375,7054,7074
2005.4583,7065,7077
2005.5417,7071,7098
2005.625,7040,7074
2005.7083,7089,7130
2005.7917,7177,7205
2005.875,7155,7172
2005.9583,7084,7104
2006.0417,7008,7039
2006.125,7040,7090
2006.2083,7115,7176
2006.2917,7027,7022
2006.375,7072,7080
2006.4583,7031,7045
2006.5417,7053,7080
2006.625,7061,7100
2006.7083,7173,7219
2006.7917,7310,7320
2006.875,7258,7283
2006.9583,7135,7143
2007.0417,7106,7093
2007.125,7230,7206
2007.2083,7061,7043
2007.2917,7018,7013
2007.375,7111,7103
2007.4583,7176,7185
2007.5417,7142,NA
2007.625,7091,NA
2007.7083,7051,NA
2007.7917,7105,NA
2007.875,7067,7134
2007.9583,7089,7126
2008.0417,7175,7198
2008.125,7110,7126
2008.2083,7124,7120
2008.2917,7146,7148
2008.375,7168,7169
2008.4583,7083,7091
2008.5417,7127,7149
2008.625,7132,7155
2008.7083,7137,7174
2008.7917,7141,7174
2008.875,7138,7141
2008.9583,7086,7100
2009.0417,7182,7209
2009.125,7117,7101
2009.2083,7057,7050
2009.2917,7103,7120
2009.375,7044,7069
2009.4583,7132,7150
2009.5417,7135,7166
2009.625,7092,7130
2009.7083,7043,7080
2009.7917,7164,7209
2009.875,7321,7302
2009.9583,7300,7309
2010.0417,7161,NA
2010.125,7273,NA
2010.2083,7137,NA
2010.2917,7077,NA
2010.375,7072,NA
2010.4583,7093,NA
2010.5417,7085,NA
2010.625,7095,7143
2010.7083,7135,7152
2010.7917,7228,7232
2010.875,7291,7252
2010.9583,7186,7163
2011.0417,7123,7102
2011.125,7150,7121
2011.2083,7044,7003
2011.2917,7072,7048
2011.375,7064,7053
2011.4583,7093,7086
2011.5417,7088,NA
2011.625,7108,7118
2011.7083,7127,7127
2011.7917,7141,7142
2011.875,7218,7225
2011.9583,7128,7103
2012.0417,7026,7012
2012.125,6875,6863
2012.2083,6942,6921
2012.2917,7190,7149
2012.375,7114,7086
2012.4583,7156,7139
2012.5417,7124,7101
2012.625,7178,7204
2012.7083,7129,7136
2012.7917,7264,7274
2012.875,7256,7247
2012.9583,7196,7208
2013.0417,7187,7174
2013.125,7061,7050
2013.2083,7238,7221
2013.2917,7142,7113
2013.375,7100,7073
2013.4583,7061,7063
2013.5417,7094,7121
2013.625,7105,7129
2013.7083,7113,7143
2013.7917,7271,7283
2013.875,NA,7072
2013.9583,7198,7214
2014.0417,7339,7297
2014.125,7360,7274
2014.2083,7113,7090
2014.2917,7170,7157
2014.375,7118,7106
2014.4583,7110,7121
2014.5417,7112,7135
2014.625,7137,7171
2014.7083,7165,7199
2014.7917,7253,7271
2014.875,7400,7374
2014.9583,7103,7083
2015.0417,7117,7093
2015.125,7050,NA
2015.2083,6999,6970
2015.2917,7060,7038
2015.375,7114,7083
2015.4583,7049,NA
2015.5417,7120,NA
2015.625,7156,NA
2015.7083,7152,NA
2015.7917,7215,7223
2015.875,7187,7185
2015.9583,7249,7267
2016.0417,7309,7270
2016.125,7197,7155
2016.2083,7087,7048
2016.2917,7166,7154
2016.375,7167,7152
2016.4583,7134,7131
2016.5417,7093,7104
2016.625,7095,7124
2016.7083,7129,7178
2016.7917,7154,7187
2016.875,7203,7209
2016.9583,7098,7148
2017.0417,7062,7092
2017.125,7165,7173
2017.2083,7109,7108
2017.2917,7033,7035
2017.375,7168,7179
2017.4583,7149,7155
2017.5417,7142,7164
2017.625,7125,7150
2017.7083,7163,7195
2017.7917,7145,7186
2017.875,7136,7160
2017.9583,7145,7137
2018.0417,7198,7179
2018.125,7071,7057
2018.2083,7339,7302
2018.2917,7208,7191
2018.375,7114,7107
2018.4583,7124,7115
2018.5417,7126,7159
2018.625,7106,7140
2018.7083,7100,7144
2018.7917,7141,7189
2018.875,7305,7349
2018.9583,7220,7232
